Wall time,Step,Value
1736635871.0680141,764,80.0
1736635874.5997348,765,80.0
1736635878.0600054,766,80.0
1736635881.5536284,767,80.0
1736635888.5988646,769,80.0
1736635892.0223756,770,80.0
1736635895.6772356,771,80.0
1736635899.5824554,772,80.0
1736635903.1090372,773,80.0
1736635905.8105528,774,54.0
1736635909.3052816,775,80.0
1736635912.7557352,776,80.0
1736635920.605252,779,45.0
1736635924.376994,780,80.0
1736635935.6669512,783,80.0
1736635939.0831592,784,80.0
1736635942.668662,785,80.0
1736635949.8267467,787,80.0
1736635956.0811596,789,80.0
1736635959.9634492,790,80.0
1736635963.5462964,791,80.0
1736635964.6637363,792,24.0
1736635968.214572,793,80.0
1736635971.4865065,794,72.0
1736635972.2114024,795,17.0
1736635975.9863899,796,80.0
1736635981.0403395,798,80.0
1736635982.2352948,799,28.0
1736635985.4233506,800,75.0
1736635986.9992247,802,31.0
1736635990.5955963,805,32.0
1736635991.4480722,806,16.0
1736635992.618788,807,23.0
1736635993.5585454,808,22.0
1736635994.6327333,809,21.0
1736635998.4521542,811,43.0
1736635999.0970535,812,14.0
1736636000.9660711,813,44.0
1736636003.258604,815,40.0
1736636004.6329587,816,27.0
1736636005.5374591,818,4.0
1736636007.326626,821,11.0
1736636010.4875205,823,28.0
1736636010.817245,824,6.0
1736636012.2842944,825,32.0
1736636018.379226,828,34.0
1736636018.68762,829,7.0
1736636020.7118876,831,25.0
1736636022.1502545,832,34.0
1736636024.8280225,834,24.0
1736636028.6653821,835,80.0
1736636029.1295984,836,11.0
1736636033.6043136,838,20.0
1736636036.9483433,839,80.0
1736636045.7086456,842,26.0
1736636046.2562048,843,10.0
1736636053.247158,845,80.0
1736636053.8771517,846,15.0
1736636054.8524427,847,20.0
1736636058.665323,848,80.0
1736636061.5528224,850,33.0
1736636063.1969106,851,35.0
1736636064.3143082,852,26.0
1736636065.535998,853,29.0
1736636067.557749,855,36.0
1736636072.624984,857,42.0
1736636074.923106,859,26.0
1736636076.274,860,32.0
1736636079.6303616,861,80.0
1736636083.354181,862,80.0
1736636086.7562976,863,80.0
1736636101.1911793,867,80.0
1736636103.991964,868,67.0
1736636105.6690142,869,40.0
1736636108.8151317,870,63.0
1736636114.9835973,873,19.0
1736636115.7171872,874,13.0
1736636119.4336786,875,80.0
1736636119.6647296,876,5.0
1736636120.49321,877,19.0
1736636126.7364428,879,46.0
1736636130.207307,880,80.0
1736636133.5986254,881,80.0
1736636137.4287596,882,80.0
1736636145.0092537,884,80.0
1736636151.9361982,886,80.0
1736636152.8948557,887,19.0
1736636153.6930192,888,16.0
1736636155.4344153,889,38.0
1736636159.2621756,890,80.0
1736636166.7560678,892,80.0
1736636170.4334512,893,80.0
1736636173.7793329,894,80.0
1736636180.6986067,896,80.0
1736636181.3783228,897,16.0
1736636186.5531704,899,80.0
1736636189.9676635,900,80.0
1736636204.3263147,904,80.0
1736636208.0155184,905,80.0
1736636215.7730534,907,80.0
1736636219.4464684,908,80.0
1736636223.0493627,909,80.0
1736636226.6115706,910,80.0
1736636229.996317,911,80.0
1736636233.4325013,912,80.0
1736636234.143346,913,17.0
1736636240.292351,915,80.0
1736636240.8918812,916,14.0
1736636243.0431027,917,51.0
1736636251.5510619,920,80.0
1736636255.2016025,921,80.0
1736636258.678256,922,80.0
1736636262.2646592,923,80.0
1736636266.637562,925,16.0
1736636278.5179646,931,26.0
1736636278.859947,932,8.0
1736636280.5652926,933,41.0
1736636281.250531,934,16.0
1736636284.8618162,935,80.0
1736636298.2707741,939,80.0
1736636309.4265623,942,80.0
1736636312.910922,943,80.0
1736636320.1997993,945,80.0
1736636327.67586,948,80.0
1736636330.2873697,949,57.0
1736636334.79441,951,15.0
1736636338.4340703,952,80.0
1736636340.4794047,953,48.0
1736636344.0387988,954,80.0
1736636351.227139,956,80.0
1736636351.9419794,957,17.0
1736636353.4411142,958,32.0
1736636357.0354376,959,80.0
1736636360.4570312,960,80.0
1736636363.9333045,961,80.0
